,Short-term MA (MA10),Short-term EMA (EMA10),Medium-term EMA (EMA20),Long-term EMA (EMA50)
0,,9657.05,9657.05,9657.05
1,,9655.928,9655.979000000001,9656.009600000001
2,,9655.390132890365,9655.468967527062,9655.517348353555
3,,9655.327492574257,9655.391320760598,9655.433188864456
4,,9653.413436795356,9653.763071550904,9653.96805752588
5,,9652.526849353288,9652.969235341,9653.23885389068
6,,9652.390261430033,9652.778413918419,9653.033522196713
7,,9651.885141254656,9652.327536465888,9652.623509827294
8,,9650.796197668893,9651.453724979605,9651.878577336429
9,9651.782000000001,9650.271855959507,9650.978801324181,9651.45294895104
10,9650.345,9648.72093469992,9649.794621919216,9650.486556003088
11,9649.665,9648.61885088199,9649.578751799228,9650.252391413358
12,9649.618,9649.698557299149,9650.173037841529,9650.626406678737
13,9649.279,9650.107065200667,9650.379888074129,9650.734643124986
14,9649.213,9649.704100847786,9650.08823742803,9650.496980811848
15,9648.380000000001,9648.181972176197,9649.084023863234,9649.764766701175
16,9647.26,9646.786478494316,9648.11437128166,9649.049105194013
17,9646.341,9645.701464261658,9647.300592558437,9648.432625747271
18,9646.395999999999,9646.022841917398,9647.315080599534,9648.358771385807
19,9646.221,9646.120452826324,9647.230833142508,9648.229972098598
20,9646.578999999998,9646.146205819628,9647.125496251467,9648.094042722172
21,9646.367999999999,9646.137701885047,9647.015684806951,9647.960432047354
22,9645.603,9646.19872371614,9646.957936111023,9647.863265937767
23,9645.05,9646.21362187257,9646.886943334845,9647.762661152381
24,9644.439,9645.422265346813,9646.368583052194,9647.398359498491
25,9644.267,9644.421884747704,9645.708358478296,9646.946619494243
26,9644.214,9643.656328237692,9645.149110072984,9646.547807331022
27,9644.472,9643.638750220842,9644.987991494418,9646.373906593908
28,9644.045999999998,9643.553269094213,9644.804793681167,9646.190902963379
29,9643.268,9642.681465866559,9644.200016644134,9645.774484358131
30,9642.346000000001,9641.653701943125,9643.486028824416,9645.29249993997
31,9641.036,9640.077738637798,9642.445039569784,9644.624837836547
32,9639.576,9638.583434215561,9641.39943375757,9643.94236857763
33,9638.428,9637.894787380157,9640.74927998145,9643.460082970534
34,9637.561,9637.044068281179,9640.009944830632,9642.927104837141
35,9635.838,9634.437792840763,9638.317169246717,9641.888686459019
36,9633.863000000001,9631.898498217175,9636.575462865621,9640.80175162735
37,9632.18,9630.958312591632,9635.616412983603,9640.095479411446
38,9631.342,9631.655261221054,9635.536086303342,9639.832084041156
39,9630.717999999999,9631.81435659318,9635.244469013598,9639.473307531156
40,9629.318,9630.21859263643,9634.062619123015,9638.673811799303
41,9628.289999999999,9628.854914027786,9632.965982526424,9637.904898864526
42,9627.374,9627.737457050023,9631.975835545614,9637.179080852187
43,9625.682999999999,9625.946748243698,9630.617714401504,9636.265507614004
44,9624.221999999998,9624.612634269719,9629.46132437661,9635.436061087208
45,9624.929999999998,9625.555884085154,9629.493905442518,9635.173321734408
46,9626.168999999998,9626.88582994694,9629.818377870732,9635.066735458007
47,9627.534,9629.339476328729,9630.832559736034,9635.310883396754
48,9627.591999999999,9630.435994015934,9631.267925661621,9635.313581670109
49,9627.668,9630.954926977412,9631.461805079336,9635.22180872043
50,9628.850999999999,9631.666784006247,9631.788377645365,9635.20595088734
51,9629.562999999998,9631.334631697897,9631.601793020865,9634.965488792448
52,9631.117999999997,9632.593819849295,9632.239074984336,9635.112302633035
53,9633.403999999997,9634.076790870706,9633.053300249467,9635.362199940753
54,9635.790999999996,9635.60467167007,9633.954748318634,9635.676100302962
55,9636.853999999996,9636.48201564843,9634.57371714487,9635.884731693726
56,9637.799999999997,9637.545296987988,9635.314878882476,9636.166276105132
57,9637.896999999997,9638.237067270891,9635.89138931068,9636.391706383367
58,9637.676999999998,9637.315775666908,9635.631500923497,9636.252196552505
59,9638.127999999997,9637.40381697435,9635.838535268535,9636.318948377955
60,9638.100999999999,9636.894029608262,9635.72031572432,9636.245104430405
61,9639.158999999998,9637.535117666866,9636.16881019383,9636.42378408796
62,9639.350999999999,9638.016006918275,9636.551527370519,9636.583970910633
63,9638.473,9636.916730025794,9636.114469101656,9636.387877065768
64,9637.549,9636.2482322109,9635.840300173313,9636.254530190417
65,9636.136000000002,9634.439459515634,9634.930469250765,9635.83416954814
66,9634.836000000001,9633.510465530719,9634.39643754634,9635.560335885337
67,9633.444,9632.404925033039,9633.732231714355,9635.219023466827
68,9632.452000000001,9630.74039159475,9632.732922625695,9634.717947697407
69,9632.126,9631.431230034721,9632.905181397438,9634.710517706828
70,9632.011999999999,9631.800097540581,9632.958064640781,9634.658436043179
71,9630.919,9631.380079582852,9632.627527474298,9634.443702912364
72,9630.208999999999,9631.689156156643,9632.670649049154,9634.38717689736
73,9630.456,9632.189309760533,9632.839261093539,9634.389361553413
74,9630.454999999998,9632.378526222752,9632.8764947876,9634.341515218603
75,9630.312999999998,9631.015157494126,9632.114544947553,9633.951843035979
76,9630.168999999998,9630.44694693,9631.71202622966,9633.702676914412
77,9630.425999999998,9630.36568383887,9631.54890971167,9633.550768859126
78,9630.620999999997,9629.426468473004,9630.94402886193,9633.208784918552
79,9629.437999999998,9628.205292256758,9630.159574232925,9632.779579988908
80,9628.361999999997,9627.20432994091,9629.448924334949,9632.36819798073
81,9628.590999999997,9628.036270011053,9629.670992116877,9632.344229910996
82,9628.390999999996,9628.589675495918,9629.805216470584,9632.2927935194
83,9627.220999999996,9627.52609808219,9629.132188426742,9631.904699664532
84,9626.116999999997,9626.555898392942,9628.470894022836,9631.510584087426
85,9625.771999999997,9625.623916837134,9627.800210093605,9631.102177646886
86,9623.954999999998,9622.732295518323,9626.078000502679,9630.23701997565
87,9620.224999999997,9617.271878034402,9622.898667588066,9628.72010110808
88,9617.867999999999,9614.427900160126,9620.87280593837,9627.626662863631
89,9616.002999999997,9612.542827376712,9619.27139017368,9626.676531337467
90,9614.392999999998,9611.462313295544,9618.06445735608,9625.868000864546
91,9611.594999999998,9610.069165410256,9616.705801380103,9624.980207257466
