,Short-term MA (MA1),Short-term EMA (EMA1),Medium-term EMA (EMA2),Long-term EMA (EMA3)
0,5258.68,5258.68,5258.68,5258.68
1,5291.73,5291.73,5283.467499999999,5280.713333333333
2,5256.139999999999,5256.14,5264.548461538461,5266.671428571428
3,5357.1399999999985,5357.14,5327.04775,5314.921333333334
4,5493.309999999999,5493.31,5438.347272727274,5406.992903225807
5,5414.999999999997,5415.0,5422.761043956045,5411.06
6,5219.899999999998,5219.9,5287.458481244282,5314.7274015748035
7,5314.0999999999985,5314.1,5305.2222012195125,5314.412470588236
8,5295.689999999997,5295.69,5298.867077532771,5305.032915851272
9,5307.519999999998,5307.52,5304.63579020458,5306.277673509287
10,5238.139999999998,5238.14,5260.305013152993,5272.192193453836
11,5320.809999999997,5320.81,5300.641746951678,5296.507032967034
12,5383.199999999996,5383.2,5355.680616839008,5339.858808448297
13,5492.869999999996,5492.87,5447.140224734934,5416.3690740401635
14,5772.689999999996,5772.69,5664.173423370395,5594.53497421186
15,5829.449999999996,5829.45,5774.3578103497775,5711.994279392691
16,5775.619999999996,5775.62,5775.199270123108,5743.807382411061
17,5747.789999999996,5747.79,5756.926423327203,5745.7986988018
18,5846.339999999997,5846.34,5816.535474493688,5796.069445284739
19,5987.289999999997,5987.29,5930.371824863878,5891.679813823523
20,6209.179999999998,6209.18,6116.243941639062,6050.429982609741
21,6373.329999999998,6373.33,6287.634647218482,6211.880029797562
22,7076.219999999999,7076.22,6813.358215745077,6644.050066417463
23,6967.309999999999,6967.31,6915.9927385820565,6805.6800428426295
24,7790.709999999998,7790.71,7499.13757952804,7298.195036099406
25,7947.559999999999,7947.56,7798.085859842798,7622.8775228878485
26,8169.869999999998,8169.87,8045.941953280965,7896.37376348163
27,7866.589999999999,7866.59,7926.373984426983,7881.4818816853385
28,7355.259999999998,7355.26,7545.631328142323,7618.370940352587
29,7257.449999999999,7257.45,7353.510442714106,7437.910470008226
30,8148.479999999999,8148.48,7883.490147571369,7793.195235169555
31,7938.149999999998,7938.15,7919.930049190457,7865.672617601653
