,Short-term MA (MA10),Short-term EMA (EMA10),Medium-term EMA (EMA20),Long-term EMA (EMA50)
0,,5048.01,5048.01,5048.01
1,,5046.4755000000005,5046.545250000001,5046.5871
2,,5080.5743853820595,5077.666686094922,5075.961617117718
3,,5062.24862871287,5062.4481938902745,5062.433544302279
4,,5094.249027666124,5089.3638968857,5086.506293056873
5,,5122.448659420056,5113.297952262693,5107.881078420578
6,,5155.217109596291,5140.740720961383,5132.05469093024
7,,5178.755415779008,5161.1271179633195,5150.185489098975
8,,5203.334731842722,5182.076458858961,5168.5437940804695
9,5169.101,5214.426803963149,5193.229786406499,5178.9623007066375
10,5200.013999999999,5243.581325721413,5216.618597828589,5198.58964301085
11,5244.8229999999985,5293.476657788079,5254.311756973734,5228.904325094563
12,5273.192999999998,5317.327953145814,5275.340068083435,5246.900619620327
13,5292.687999999999,5298.4782402586125,5268.334535964625,5244.431485111251
14,5306.725999999999,5301.465813829219,5273.943004404803,5250.486235089462
15,5316.012999999999,5300.371536822024,5276.537208732838,5254.23596959422
16,5320.920999999999,5301.715604808699,5280.146345855716,5258.470763317734
17,5318.866999999999,5289.83569581829,5275.354911663667,5256.9174934791845
18,5321.774999999999,5295.594587026191,5280.443917211205,5261.623875979734
19,5334.480999999998,5311.8159905659695,5291.758984766315,5270.281088404931
20,5348.053999999998,5345.228940250015,5313.579839629364,5285.639870376285
21,5375.991999999999,5423.900867677062,5362.7419402516725,5318.274625773342
22,5417.436999999999,5498.3742081472155,5412.132690162046,5351.599809915879
23,5473.008999999999,5549.194090412221,5450.196709485934,5378.54314217951
24,5516.377999999999,5585.5432841375,5481.067690373462,5401.4488126254755
25,5571.442999999999,5633.219330221789,5518.640119213115,5428.431283989221
26,5639.42,5697.882631473347,5566.48140223944,5461.614591999901
27,5736.523999999999,5791.184387785158,5631.644090638576,5505.125488483025
28,5841.776,5897.344258396582,5706.383294387021,5554.716377915184
29,6011.078,6112.207285395566,5843.661522576631,5640.094453779223
30,6158.522000000001,6267.990151354259,5955.710330058304,5713.332573694715
31,6360.3240000000005,6545.299286974204,6137.877952391602,5826.164478419143
32,6572.135,6800.595474763956,6316.810055175176,5939.6733483898715
33,6811.56,7049.8258075455915,6499.367220647212,6057.322482411425
34,7023.4400000000005,7198.460780941933,6633.621208048924,6151.491643648471
35,7174.332,7226.990521633313,6704.273401528278,6213.3518257137175
