,Time,Open,High,Low,Close,Volume
0,1583005080000,8640.0,8641.1,8636.13,8640.26,15.663076
1,1583005140000,8640.27,8646.63,8638.34,8644.07,15.094419
2,1583005200000,8644.98,8651.89,8644.46,8651.06,19.590223
3,1583005260000,8651.06,8654.58,8651.0,8653.74,13.916009
4,1583005320000,8653.77,8658.58,8652.71,8655.79,13.975185
5,1583005380000,8655.69,8661.43,8653.87,8660.74,11.020723
6,1583005440000,8661.32,8667.77,8658.48,8667.0,16.021035
7,1583005500000,8667.0,8669.48,8661.65,8665.75,27.23405
8,1583005560000,8665.81,8666.79,8662.36,8662.38,10.765524
9,1583005620000,8662.38,8664.39,8661.75,8663.51,9.967799
10,1583005680000,8663.53,8664.0,8657.09,8658.93,26.138914
11,1583005740000,8659.86,8670.0,8657.43,8670.0,24.82375
12,1583005800000,8670.0,8673.46,8670.0,8672.06,17.488518
13,1583005860000,8671.74,8674.0,8669.56,8670.85,15.945882
14,1583005920000,8670.92,8672.05,8668.47,8670.02,13.821696
15,1583005980000,8669.79,8673.0,8668.97,8671.37,16.88297
16,1583006040000,8671.37,8671.84,8671.37,8671.65,6.517173
17,1583006100000,8671.59,8673.88,8663.12,8663.12,24.09021
18,1583006160000,8664.06,8668.1,8661.08,8665.95,13.674804
19,1583006220000,8665.95,8667.79,8661.09,8662.93,12.994098
20,1583006280000,8662.72,8665.93,8661.08,8662.93,16.164353
21,1583006340000,8663.75,8671.72,8663.75,8671.41,14.142112
22,1583006400000,8670.64,8671.61,8652.38,8659.78,28.779768
23,1583006460000,8659.13,8661.79,8653.34,8655.6,13.622064
24,1583006520000,8655.75,8659.04,8654.26,8655.7,12.668621
25,1583006580000,8655.29,8659.64,8654.2,8658.85,15.217429
26,1583006640000,8657.94,8662.0,8656.3,8659.66,10.480067
27,1583006700000,8658.96,8659.63,8655.56,8658.27,6.149599
28,1583006760000,8658.08,8660.37,8657.5,8657.65,10.345314
29,1583006820000,8657.65,8657.65,8656.41,8656.44,11.960751
30,1583006880000,8656.44,8656.44,8653.23,8653.73,5.701483
31,1583006940000,8653.1,8656.98,8650.85,8656.55,15.070297
32,1583007000000,8657.66,8667.46,8654.51,8659.36,18.869847
33,1583007060000,8661.15,8665.19,8657.69,8660.38,10.492565
34,1583007120000,8660.85,8667.37,8656.72,8665.62,7.595787
35,1583007180000,8666.38,8669.11,8663.37,8666.59,9.578291
36,1583007240000,8665.76,8667.03,8661.96,8665.96,6.539754
37,1583007300000,8664.56,8664.9,8659.17,8661.11,7.612062
