,Short-term MA (MA10),Short-term EMA (EMA10),Medium-term EMA (EMA20),Long-term EMA (EMA50)
0,,4106.97,4106.97,4106.97
1,,4105.309,4105.384500000001,4105.4298
2,,4121.087641196014,4119.7695087427155,4118.998344220771
3,,4363.633517326733,4332.680271508729,4314.790280307877
4,,4526.968320032941,4477.795748624692,4448.430785498296
5,,4623.509488226945,4566.578881678937,4531.168693844294
6,,4715.4213287303855,4649.464009674681,4607.238617759685
7,,4790.149534424292,4717.642524010189,4669.760384850787
8,,4872.85044569647,4790.246184399407,4734.676417995338
9,4750.004,4949.321298940075,4857.508378847613,4794.409823820473
10,4854.307,4990.317448693186,4899.24483455525,4833.5802145908665
11,4974.737,5053.839790563144,4954.962853515394,4882.404339895357
12,5062.018000000001,5046.6818920843525,4963.129704226012,4895.45613043988
13,5081.090000000001,5046.938845577522,4973.855369955786,4909.406774133271
14,5092.352000000001,5046.610126041161,4982.6009663085,4921.210027405865
15,5115.616000000002,5062.655342274852,5000.339309754083,4938.637372692234
16,5117.616000000002,5055.56591029255,5003.2061707486355,4945.497142300489
17,5130.599000000002,5077.64450218,5022.655750926319,4962.93336325256
18,5133.854000000002,5100.917731163976,5042.826361006758,4980.603639952944
19,5136.0080000000025,5130.085247217516,5066.568827873913,5000.38785669578
20,5146.876000000002,5153.8170055905275,5087.413185900064,5018.2101852452815
21,5145.224000000002,5179.199156408604,5109.291690539346,5036.537358790363
22,5169.1010000000015,5193.32824998605,5124.8323437932095,5050.853968755329
23,5200.014000000001,5223.355374270605,5149.159363954888,5070.316170085641
24,5244.823000000001,5272.765420066819,5184.859993123735,5096.555952668721
25,5273.193000000001,5298.767213706157,5208.532521272274,5115.869455907072
26,5292.688000000001,5284.363833720047,5209.692949962015,5122.046468966465
27,5306.726000000001,5289.790101701623,5220.27869589643,5133.224649789965
28,5316.013000000001,5290.866005095609,5227.87784366396,5142.504492398414
29,5320.921,5293.9013782316415,5235.859184845878,5151.764218318387
30,5318.867,5283.742753820362,5236.086624853354,5156.5305879368
31,5321.775,5290.49323126835,5244.4974469692,5165.453356970189
32,5334.481,5307.371465408154,5258.21164582974,5177.104260886407
33,5348.054,5341.135229105475,5281.329389058335,5193.761790048048
34,5375.992,5419.669685541691,5329.578381298128,5223.893975265358
35,5417.437,5494.229534641436,5378.518414335815,5255.012757997219
36,5473.009,5545.42196198044,5417.293309395,5281.444372381177
37,5516.378000000001,5582.234109807603,5449.487104288975,5304.850624034741
38,5571.443000000001,5630.272537417887,5488.060887974909,5331.733358586984
39,5639.420000000001,5695.206009480575,5536.49058224147,5363.943111663945
40,5736.524000000001,5788.680802768136,5601.632122925337,5405.0646742798635
41,5841.776000000002,5895.003901312204,5676.242063040005,5451.731373286164
42,6011.078000000002,6109.80888731462,5811.4006325783885,5529.328671999343
43,6158.522000000003,6265.741001170919,5922.8505318397665,5597.434626261003
44,6360.324000000002,6543.041296021465,6102.732729621714,5700.473557841314
45,6572.135000000002,6798.433353799748,6280.207678311181,5805.227219726902
46,6811.560000000002,7047.805460223825,6461.820874145346,5914.651129206358
47,7023.440000000002,7196.685140529281,6596.714108815371,6004.343981518963
48,7174.332000000002,7225.518480324279,6669.496341705327,6066.004166560223
49,7301.348000000003,7231.324466072851,6725.870190455546,6120.038308168159
50,7495.278000000003,7398.086007835517,6862.1843822133915,6211.470634625596
51,7651.760000000002,7496.282346888768,6965.223257273087,6288.847589078691
52,7734.625000000002,7570.572797470118,7055.160371431777,6360.862659502105
53,7800.737000000003,7581.092495802704,7110.004071082877,6417.049014519724
54,7806.817000000001,7630.260106190293,7180.912141307651,6480.309828137426
55,7808.548000000001,7691.099069958393,7255.850614666046,6545.461781915704
56,7794.102000000002,7751.883530407305,7329.3868667442675,6610.109385424266
57,7868.886000000001,7908.711543896135,7452.141779626281,6697.273471123642
58,8008.992000000003,8062.8232839473,7576.688742812212,6786.436541496322
59,8154.811000000003,8181.517932840612,7685.428483639306,6869.636932818978
60,8204.531000000004,8265.911443479943,7777.085539744125,6945.933599305429
61,8237.670000000004,8266.571183635571,7824.08084601465,7002.582091337921
62,8302.683000000005,8319.012956129107,7893.819584024492,7068.7861909087915
63,8394.247000000007,8359.93252687415,7955.850714289597,7131.485778746714
64,8481.694000000007,8426.486756914192,8029.306198931218,7199.029973683869
65,8496.789000000008,8370.001792015806,8037.556770717183,7237.744251196071
66,8462.951000000006,8245.824922680022,8004.1323556492935,7256.659742455844
67,8379.158000000007,8160.493017421844,7982.429047873259,7278.482695165639
68,8282.196000000007,8092.530584714628,7963.769489318876,7299.7588985049315
69,8208.685000000009,8072.166825882802,7965.367176847253,7328.183671314955
70,8133.479000000007,8039.703745558341,7958.5285030990535,7351.73300974096
71,8069.338000000006,7964.872115712735,7927.038609934848,7363.216481833904
72,8012.113000000007,7968.122641541108,7932.3480215356,7388.896386617588
73,7946.196000000005,7952.9912467902,7927.826415514283,7409.410086899138
74,7886.3620000000055,7984.745574792806,7946.866745901324,7439.051115439107
75,7896.6340000000055,8027.253662220356,7972.753262181774,7471.154338650177
76,7992.931000000006,8140.480291138187,8037.281984680436,7519.609635103644
77,8096.151000000005,8261.974803015737,8110.780286513178,7572.496563924781
78,8212.814000000006,8387.675764308033,8191.052681268816,7629.044992903372
79,8346.157000000007,8556.091097850922,8298.03188414666,7697.92666184753
80,8464.950000000008,8651.629088396885,8372.6751615921,7754.397045339691
81,8627.686000000007,8761.421989254619,8456.775706227458,7815.56403637426
82,8781.123000000007,8898.821635598366,8557.785806485455,7884.793452719624
83,9008.619000000008,9128.101349175338,8710.398378943992,7977.220798146864
84,9268.805000000008,9419.264751620385,8902.732628728741,8088.877992239781
85,9537.558000000008,9689.592987247703,9093.561545537104,8203.014172269373
86,9778.217000000008,9938.137905163594,9280.547560303188,8318.474489669587
87,10079.433000000008,10280.451020647424,9522.51828447163,8460.010356543606
88,10493.480000000007,10791.969025857212,9862.686404444057,8647.0440923229
89,10695.083000000008,10889.791022558458,10002.446722746816,8755.211782616097
90,11026.991000000007,11164.489021679394,10230.870444237913,8902.021590832272
91,11291.755000000008,11298.787382663053,10390.149229410363,9022.755900938902
92,11425.453000000009,11217.93513063484,10434.339025867934,9096.356055702014
93,11471.960000000008,11110.116015281206,10452.492037169912,9157.728393133508
94,11483.29500000001,11061.522194065532,10489.671747002481,9225.322970121128
95,11586.68800000001,11221.245432195154,10627.807528390817,9334.118094655367
96,11595.596000000009,11207.504444474951,10677.13076211089,9406.65654986282
97,11510.58300000001,11164.454545355553,10705.094132273756,9469.233714109552
98,11326.85200000001,11181.188264421236,10757.610637755413,9540.683532821058
99,11334.47700000001,11222.106761878062,10819.387644092858,9615.206823700399
100,11318.274000000009,11406.923714555325,10954.556231664834,9719.926801772814
101,11382.302000000009,11613.557584902788,11105.881215291414,9832.554852086552
102,11507.729000000008,11703.523478651803,11201.359521389393,9923.27540677604
103,11579.525000000009,11637.953755203931,11214.839021259926,9979.82873710993
104,11670.962000000009,11659.63852700036,11266.495762601122,10050.590880212409
105,11612.538000000008,11604.387885695622,11274.997328503301,10102.521758889483
106,11515.389000000008,11344.3500881734,11170.155240286846,10105.371308839787
107,11502.18800000001,11252.41734483356,11138.589341156467,10134.517498702575
108,11320.498000000009,10922.812372941258,10976.776920369817,10106.912902752387
109,11146.666000000008,10694.650123256455,10852.121817408139,10089.48363529163
110,10985.522000000008,10682.379191752681,10830.69656161715,10110.820522546199
111,10781.610000000006,10649.999338701124,10799.609801283983,10126.427472494343
112,10644.796000000006,10666.404913485067,10793.954512798418,10150.762990184763
113,10569.452000000007,10652.413111031612,10774.477676544053,10168.148176600498
114,10427.761000000006,10595.667090838655,10733.127959140573,10174.968131680553
115,10278.676000000007,10462.8021652213,10650.439783835682,10162.690488852239
116,10237.586000000007,10335.616316991156,10565.947681898515,10146.880724941375
117,10141.701000000006,10252.75335026118,10500.606464737572,10136.315585286276
118,10180.142000000007,10174.79819566492,10436.167320566536,10123.962167878582
119,10161.002000000008,10047.83852372142,10344.771781697744,10098.36172863051
120,10052.440000000008,9955.784246678539,10268.273095751918,10076.35165990781
121,9952.775000000009,9874.303474553268,10195.831487814776,10053.878624988196
122,9836.173000000008,9819.741024633451,10136.629174634532,10034.929871970271
123,9785.281000000008,9867.157201973563,10131.286374319663,10036.730733243885
124,9788.749000000009,9959.490437979548,10154.496329029871,10050.085727789296
125,9854.633000000009,10062.083085620703,10189.663462656381,10068.781749298969
126,9959.991000000009,10199.315251872658,10249.396646544816,10098.301637955256
127,10064.927000000009,10332.027024260376,10314.142857057412,10131.082831358459
128,10265.40700000001,10604.167565305503,10458.396274783538,10198.044182707545
129,10465.92400000001,10763.717098887068,10555.853037949553,10248.662278769505
130,10709.27300000001,10983.955808181172,10691.013022048559,10316.723463468497
131,10958.48600000001,11168.649297603357,10815.656771896902,10383.062879510648
132,11189.06400000001,11297.983970766714,10917.022009101813,10442.054329769722
133,11311.94200000001,11300.043248809134,10954.382826117222,10476.224873787098
134,11429.44000000001,11345.484476298461,11011.105490999264,10518.523433126664
135,11516.67300000001,11354.683662426027,11047.769774920262,10553.087296670026
136,11524.258000000009,11270.688451075743,11033.0021609214,10566.461555009897
137,11436.372000000008,11048.812369061763,10939.418051636987,10546.141330673394
138,11282.885000000007,10911.561029232247,10877.942943257243,10536.212504749441
139,11167.870000000006,10806.102660280863,10825.904524940146,10528.156363743263
140,10991.969000000008,10698.814903866105,10767.820241278403,10515.872110508704
141,10822.670000000007,10627.535830435874,10723.911617330199,10507.644355244525
142,10726.225000000008,10679.900224902098,10742.16195059827,10523.692857191932
143,10671.345000000007,10694.556547647177,10743.909384836992,10533.009138066785
144,10530.605000000007,10594.195357165849,10686.638938696688,10517.651338692773
145,10400.985000000008,10504.31983768113,10630.757109818322,10501.220391110252
146,10350.669000000009,10483.452594466375,10607.784994751244,10496.828896422425
147,10359.06700000001,10419.979395472481,10562.695930992262,10482.575795515144
148,10343.94300000001,10369.563141750206,10522.69535277981,10469.212492035158
149,10348.01400000001,10370.051661431988,10508.367219615157,10465.40060018968
150,10344.91700000001,10336.414995717078,10477.575095045058,10454.380234488664
151,10286.33900000001,10224.521360132148,10405.520306269631,10425.554319970175
152,10144.62900000001,10092.506567380844,10319.1316863437,10389.116854850794
153,10027.03200000001,10000.149009675233,10249.170559196087,10357.498089331211
154,9971.522000000012,9925.116462461552,10186.151446778038,10327.239552510622
155,9934.03200000001,9888.72801474127,10142.230349330484,10303.575427601967
156,9929.07700000001,9970.777466606494,10161.065556980098,10305.006520972485
157,9977.17000000001,10087.959745405316,10204.324081230972,10317.196030328425
158,10019.60300000001,10175.061609877079,10238.866553924601,10327.010006320736
159,10038.82700000001,10245.86677171761,10269.87831413731,10336.338433741807
160,10050.19500000001,10255.478267768953,10272.62609401934,10334.861237020728
161,10123.68300000001,10291.914946356415,10290.078848556313,10339.614354948408
162,10211.95700000001,10308.144956109794,10298.755149407361,10341.246783813616
163,10283.815000000008,10307.231327726195,10299.170849494734,10339.749497688814
164,10334.883000000007,10269.216540866888,10280.026005396832,10330.262112603245
165,10378.218000000008,10249.055351618363,10268.43590893879,10323.510860555185
166,10385.719000000008,10279.22892405139,10282.395346952017,10327.103569729536
167,10358.397000000008,10290.652756042045,10288.077695144677,10327.690804293048
168,10335.197000000007,10298.719527670764,10292.548391046868,10327.978557003278
169,10308.949000000006,10299.31779536699,10293.449496698231,10326.959047744065
170,10304.207000000006,10290.589105300263,10289.436211150194,10323.989243320666
171,10277.401000000007,10271.903813427487,10279.758476431585,10318.643782130748
172,10254.982000000007,10251.010392804306,10268.066240227505,10312.298155508015
173,10249.099000000007,10249.788503203523,10265.801836334382,10309.628637738017
174,10256.143000000007,10235.0251389847,10256.543565978192,10304.09266732686
175,10238.949000000008,10189.81875007839,10230.814654356602,10291.622824288414
176,10200.335000000008,10160.55534097323,10211.581829742567,10281.31011919807
177,10136.354000000008,10077.227097159914,10163.074035544718,10258.583516153756
178,9952.166000000008,9789.211261312657,10004.032696188926,10189.296648799893
179,9764.970000000008,9542.091031983084,9854.12958001719,10120.255088163469
180,9546.212000000009,9273.298117077069,9683.615331986697,10039.549210085752
181,9345.221000000009,9074.136641244875,9540.2148224173,9966.493450752107
182,9149.403000000008,8914.986342836715,9412.461980767537,9897.12664385512
183,8929.356000000005,8756.592462320948,9282.115124145917,9824.40172985341
184,8741.431000000006,8671.637469171685,9187.565111462478,9764.16644797997
185,8572.036000000006,8602.692474776833,9102.315100145426,9706.417804025306
186,8405.143000000007,8558.555661181046,9031.612709128945,9653.584971293534
187,8257.314000000008,8497.720086420855,8954.69340297943,9597.490866971944
188,8221.713000000007,8432.158252526155,8876.830221268707,9540.191997879174
189,8191.3270000000075,8376.527661157763,8805.340675991734,9484.713202823435
190,8170.379000000008,8281.568086401805,8714.760611159625,9420.742741886212
191,8171.597000000007,8264.935707056022,8664.791981299804,9372.459567267566
192,8168.555000000008,8247.381942136744,8617.515601935302,9325.220206750646
193,8220.247000000008,8304.356134475516,8612.108401731006,9295.227813576386
194,8247.116000000009,8350.478655479968,8606.958077739404,9266.306257544496
