date,session_num,buy_sell,amount
16/03/20-13:26:54,1,buy,1$
13/03/20-22:50:21,1,buy,1$
13/03/20-22:50:11,1,buy,1$
13/03/20-22:50:01,1,buy,1$
13/03/20-22:49:51,1,buy,1$
13/03/20-22:49:41,1,buy,1$
12/03/20-23:25:39,1,buy,1$
12/03/20-23:25:28,1,buy,1$
12/03/20-23:25:18,1,buy,1$
08/03/20-18:27:48,1,buy,1$
08/03/20-18:27:37,1,buy,1$
07/03/20-18:31:41,1,buy,1$
07/03/20-18:31:31,1,buy,1$
07/03/20-18:31:20,1,buy,1$
07/03/20-18:31:10,1,buy,1$
07/03/20-18:31:00,1,buy,1$
07/03/20-18:30:50,1,buy,1$
07/03/20-18:30:40,1,buy,1$
07/03/20-18:30:29,1,buy,1$
07/03/20-18:30:19,1,buy,1$
07/03/20-18:30:09,1,buy,1$
07/03/20-18:29:59,1,buy,1$
07/03/20-18:29:48,1,buy,1$
07/03/20-18:29:38,1,buy,1$
07/03/20-18:29:28,1,buy,1$
07/03/20-18:29:18,1,buy,1$
07/03/20-18:29:07,1,buy,1$
05/03/20-16:22:44,1,buy,1$
05/03/20-14:30:06,2,buy,1$
05/03/20-14:30:04,3,buy,1$
05/03/20-14:29:56,2,buy,1$
05/03/20-14:29:49,1,buy,1$
05/03/20-14:29:39,1,buy,1$
03/03/20-22:05:47,2,buy,1$
03/03/20-22:05:36,2,buy,1$
03/03/20-22:05:35,1,buy,1$
03/03/20-22:05:24,1,buy,1$
03/03/20-22:05:14,1,buy,1$
03/03/20-22:05:04,1,buy,1$
03/03/20-22:04:54,1,buy,1$
03/03/20-22:02:50,1,buy,1$
03/03/20-22:02:40,1,buy,1$
03/03/20-21:29:06,1,buy,1$
03/03/20-21:28:56,1,buy,1$
03/03/20-21:28:46,1,buy,1$
03/03/20-21:28:36,1,buy,1$
03/03/20-20:40:58,1,buy,1$
03/03/20-20:40:32,1,buy,1$
03/03/20-20:40:22,1,buy,1$
